caseID;caseID-Original;taskID;originator;eventtype;timestamp;Operador;Produto
1;001;Idle machine;1;start;31/12/2024 18:00;Operador;Process_Machine-01
1;001;Idle machine;1;complete;31/12/2024 20:20;Operador;Process_Machine-01
1;001;Working;1;start;31/12/2024 20:20;Operador;Process_Machine-01
1;001;Working;1;complete;31/12/2024 20:20;Operador;Process_Machine-01
1;001;Remove piece;1;start;31/12/2024 20:20;Operador;Process_Machine-01
1;001;Remove piece;1;complete;31/12/2024 20:20;Operador;Process_Machine-01
1;001;Operational stop;1;start;31/12/2024 20:20;Operador;Process_Machine-01
1;001;Operational stop;1;complete;31/12/2024 20:20;Operador;Process_Machine-01
1;001;Product (accept);1;start;31/12/2024 20:20;Operador;Process_Machine-01
2;002;Idle machine;1;start;31/12/2024 18:00;Operador;Process_Machine-01
2;002;Setup;1;start;31/12/2024 18:00;Operador;Process_Machine-01
2;002;Setup;1;complete;31/12/2024 18:10;Operador;Process_Machine-01
2;002;Idle machine;1;complete;31/12/2024 18:10;Operador;Process_Machine-01
2;002;Working;1;start;31/12/2024 18:10;Operador;Process_Machine-01
2;002;Working;1;complete;31/12/2024 18:10;Operador;Process_Machine-01
2;002;Remove piece;1;start;31/12/2024 18:10;Operador;Process_Machine-01
2;002;Remove piece;1;complete;31/12/2024 18:10;Operador;Process_Machine-01
2;002;Product (accept);1;start;31/12/2024 18:10;Operador;Process_Machine-01
3;003;Idle machine;1;start;31/12/2024 18:00;Operador;Process_Machine-01
3;003;Idle machine;1;complete;31/12/2024 19:06;Operador;Process_Machine-01
3;003;Working;1;start;31/12/2024 19:06;Operador;Process_Machine-01
3;003;Working;1;complete;31/12/2024 19:06;Operador;Process_Machine-01
3;003;Remove piece;1;start;31/12/2024 19:06;Operador;Process_Machine-01
3;003;Remove piece;1;complete;31/12/2024 19:06;Operador;Process_Machine-01
3;003;Product (accept);1;start;31/12/2024 19:06;Operador;Process_Machine-01
4;004;Idle machine;1;start;31/12/2024 18:00;Operador;Process_Machine-01
4;004;Idle machine;1;complete;31/12/2024 18:19;Operador;Process_Machine-01
4;004;Working;1;start;31/12/2024 18:19;Operador;Process_Machine-01
4;004;Working;1;complete;31/12/2024 18:19;Operador;Process_Machine-01
4;004;Remove piece;1;start;31/12/2024 18:19;Operador;Process_Machine-01
4;004;Remove piece;1;complete;31/12/2024 18:19;Operador;Process_Machine-01
4;004;Operational stop;1;start;31/12/2024 18:19;Operador;Process_Machine-01
4;004;Operational stop;1;complete;31/12/2024 18:21;Operador;Process_Machine-01
4;004;Product (accept);1;start;31/12/2024 18:21;Operador;Process_Machine-01
5;005;Idle machine;1;start;31/12/2024 18:00;Operador;Process_Machine-01
5;005;Idle machine;1;complete;31/12/2024 21:00;Operador;Process_Machine-01
5;005;Working;1;start;31/12/2024 21:00;Operador;Process_Machine-01
5;005;Working;1;complete;31/12/2024 21:00;Operador;Process_Machine-01
5;005;Remove piece;1;start;31/12/2024 21:00;Operador;Process_Machine-01
5;005;Remove piece;1;complete;31/12/2024 21:00;Operador;Process_Machine-01
5;005;Product (accept);1;start;31/12/2024 21:00;Operador;Process_Machine-01
6;006;Idle machine;1;start;31/12/2024 18:00;Operador;Process_Machine-01
6;006;Idle machine;1;complete;31/12/2024 20:26;Operador;Process_Machine-01
6;006;Working;1;start;31/12/2024 20:26;Operador;Process_Machine-01
6;006;Working;1;complete;31/12/2024 20:26;Operador;Process_Machine-01
6;006;Remove piece;1;start;31/12/2024 20:26;Operador;Process_Machine-01
6;006;Remove piece;1;complete;31/12/2024 20:26;Operador;Process_Machine-01
6;006;Product (accept);1;start;31/12/2024 20:26;Operador;Process_Machine-01
7;007;Idle machine;1;start;31/12/2024 18:00;Operador;Process_Machine-01
7;007;Idle machine;1;complete;31/12/2024 20:01;Operador;Process_Machine-01
7;007;Working;1;start;31/12/2024 20:01;Operador;Process_Machine-01
7;007;Working;1;complete;31/12/2024 20:01;Operador;Process_Machine-01
7;007;Remove piece;1;start;31/12/2024 20:01;Operador;Process_Machine-01
7;007;Remove piece;1;complete;31/12/2024 20:02;Operador;Process_Machine-01
7;007;Product (accept);1;start;31/12/2024 20:02;Operador;Process_Machine-01
8;008;Idle machine;1;start;31/12/2024 18:00;Operador;Process_Machine-01
8;008;Idle machine;1;complete;31/12/2024 20:55;Operador;Process_Machine-01
8;008;Working;1;start;31/12/2024 20:55;Operador;Process_Machine-01
8;008;Working;1;complete;31/12/2024 20:56;Operador;Process_Machine-01
8;008;Remove piece;1;start;31/12/2024 20:56;Operador;Process_Machine-01
8;008;Remove piece;1;complete;31/12/2024 20:56;Operador;Process_Machine-01
8;008;Product (accept);1;start;31/12/2024 20:56;Operador;Process_Machine-01
9;009;Idle machine;1;start;31/12/2024 18:00;Operador;Process_Machine-01
9;009;Idle machine;1;complete;31/12/2024 19:01;Operador;Process_Machine-01
9;009;Working;1;start;31/12/2024 19:01;Operador;Process_Machine-01
9;009;Working;1;complete;31/12/2024 19:01;Operador;Process_Machine-01
9;009;Remove piece;1;start;31/12/2024 19:01;Operador;Process_Machine-01
9;009;Remove piece;1;complete;31/12/2024 19:01;Operador;Process_Machine-01
9;009;Operational stop;1;start;31/12/2024 19:01;Operador;Process_Machine-01
9;009;Operational stop;1;complete;31/12/2024 19:02;Operador;Process_Machine-01
9;009;Product (accept);1;start;31/12/2024 19:02;Operador;Process_Machine-01
10;010;Idle machine;1;start;31/12/2024 18:00;Operador;Process_Machine-01
10;010;Idle machine;1;complete;31/12/2024 20:44;Operador;Process_Machine-01
10;010;Working;1;start;31/12/2024 20:44;Operador;Process_Machine-01
10;010;Working;1;complete;31/12/2024 20:44;Operador;Process_Machine-01
10;010;Remove piece;1;start;31/12/2024 20:44;Operador;Process_Machine-01
10;010;Remove piece;1;complete;31/12/2024 20:45;Operador;Process_Machine-01
